1;1262.00;9.70;1665.00;big
1;2603.00;11.55;935.00;big
2;764.00;9.50;1466.00;big
2;357.00;9.50;2172.00;big
3;3516.00;9.50;2142.00;big
3;3959.00;9.50;804.00;big
4;3516.00;9.50;2142.00;big
4;3959.00;9.50;804.00;big
5;3516.00;9.50;2142.00;big
5;3959.00;9.50;804.00;big
6;3516.00;9.50;2142.00;big
6;3959.00;9.50;804.00;big
7;3516.00;9.50;2142.00;big
7;3959.00;9.50;804.00;big
8;3516.00;9.50;2142.00;big
8;3959.00;9.50;804.00;big
9;3516.00;9.50;2142.00;big
9;3959.00;9.50;804.00;big
10;3516.00;9.50;2142.00;big
10;3959.00;9.50;804.00;big
11;3516.00;9.50;2142.00;big
11;3959.00;9.50;804.00;big
12;3516.00;9.50;2142.00;big
12;3959.00;9.50;804.00;big
13;3516.00;9.50;2142.00;big
13;3959.00;9.50;804.00;big
14;3516.00;9.50;2142.00;big
14;3959.00;9.50;804.00;big
15;3516.00;9.50;2142.00;big
15;3959.00;9.50;804.00;big
16;3516.00;9.50;2142.00;big
16;3959.00;9.50;804.00;big
17;3516.00;9.50;2142.00;big
17;3959.00;9.50;804.00;big
18;3516.00;9.50;2142.00;big
18;3959.00;9.50;804.00;big
19;3516.00;9.50;2142.00;big
19;3959.00;9.50;804.00;big
20;3516.00;9.50;2142.00;big
20;3959.00;9.50;804.00;big
21;3516.00;9.50;2142.00;big
21;3959.00;9.50;804.00;big
22;3516.00;9.50;2142.00;big
22;3959.00;9.50;804.00;big
23;3516.00;9.50;2142.00;big
23;3959.00;9.50;804.00;big
24;3516.00;9.50;2142.00;big
24;3959.00;9.50;804.00;big
25;3516.00;9.50;2142.00;big
25;3959.00;9.50;804.00;big
26;3516.00;9.50;2142.00;big
26;3959.00;9.50;804.00;big
27;3516.00;9.50;2142.00;big
27;3959.00;9.50;804.00;big
28;3516.00;9.50;2142.00;big
28;3959.00;9.50;804.00;big
29;3516.00;9.50;2142.00;big
29;3959.00;9.50;804.00;big
30;3516.00;9.50;2142.00;big
30;3959.00;9.50;804.00;big
31;3516.00;9.50;2142.00;big
31;3959.00;9.50;804.00;big
32;3516.00;9.50;2142.00;big
32;3959.00;9.50;804.00;big
33;3516.00;9.50;2142.00;big
33;3959.00;9.50;804.00;big
34;3516.00;9.50;2142.00;big
34;3959.00;9.50;804.00;big
35;3516.00;9.50;2142.00;big
35;3959.00;9.50;804.00;big
36;3516.00;9.50;2142.00;big
36;3959.00;9.50;804.00;big
37;3516.00;9.50;2142.00;big
37;3959.00;9.50;804.00;big
38;3516.00;9.50;2142.00;big
38;3959.00;9.50;804.00;big
39;3516.00;9.50;2142.00;big
39;3959.00;9.50;804.00;big
